ID	author	claim	label
9901	Andrew Yang	"""I'm one of only two candidates in the field that 10% or more of Donald Trump voters say they would support in the general"" election."	pants-fire
9902	Roy Cooper	"Says ""30,000 veterans in North Carolina have no health insurance."""	mostly-true
9903	Kelda Helen Roys	"In 2011 under Scott Walker, Wisconsin for the first time spent ""more on our prison system than we did"" on the University of Wisconsin System."	mostly-true
9904	Rand Paul	"""The vast majority of people that got insurance under President Obama's Obamacare, the Affordable Care Act, got it through Medicaid."""	half-true
9905	George Will	"""Congress shoveled $700 billion into the Troubled Assets Relief Program, $325 billion of which has been spent without purchasing any toxic assets."""	true
9906	Peter King	"""The House did vote against engagement in Kosovo, and Bill Clinton kept fighting anyway. And, then, ultimately, a vote did pass."""	mostly-true
9907	Peter Barca	"Under Republican-backed state budget, the state education agency estimates expansion of Wisconsin’s school voucher program ""could cost nearly $2 billion annually"""	pants-fire
9908	Hillary Clinton	"In 2006, Bernie Sanders ""voted in the House with hard-line Republicans for indefinite detention for undocumented immigrants, and then he sided with those Republicans to stand with vigilantes known as Minutemen who were taking up outposts along the border to hunt down immigrants."""	mostly-true
9909	Facebook posts	"""Congress rejects $336 (per) month increase in"" Social Security and disability benefits ""but approves $8,872 (per) month increase for themselves."""	false
9910	Hillary Clinton	"""In New Jersey, Gov. Christie vetoed legislation to extend early voting."""	mostly-true
9911	Facebook posts	Soybeans dropped 70 cents and corn 50 cents per bushel in two days, causing farmers to lose big money, “thanks to Biden’s executive orders.”	barely-true
9912	Joe Biden	"Women are ""disproportionately impacted by voter ID laws — especially married women who change their names, or those whose IDs do not accurately reflect their gender."""	mostly-true
9913	Facebook posts	Says Tom Hanks was “arrested in Australia for pedophilia.”	pants-fire
9914	Viral image	"""Measles kills 11 people in 19 years (since 2000). MMR vaccine kills 445 infants in 1 year (since 2018)."""	pants-fire
9915	Facebook posts	"Says ABC 7 reported the Santa Clarita high school shooting ""3 weeks in advance."""	pants-fire
9916	Rick Perry	"Says Mitt Romney wrote that if Social Security was done ""in the private sector, it would be called criminal."""	barely-true
9917	Mahmoud Ahmadinejad	"Sakineh Mohammadi Ashtiani ""was never sentenced to stoning."""	false
9918	Floridians for Ethics and Truth in Politics	Aaron Bean voted to give illegal immigrants in-state tuition.	mostly-true
9919	Zach Wahls	"“The federal American Rescue Plan will purchase more food from farmers for distribution."""	true
9920	Hillary Clinton	"""The estate tax, which came into being by Republicans like Teddy Roosevelt and others ... is there for a real simple reason: In America, we've never liked the idea of massive inherited wealth."""	barely-true
9921	Barack Obama	"Says he ""will protect your guaranteed benefits"" in Medicare while ""Mitt Romney would take away Medicare as guaranteed benefits."""	half-true
9922	Victoria Taft	"""A $250 fine if you're caught with a plastic bag coming out of a store. Plastic bag police anyone?"""	false
9923	Tweets	Olympic Village has cardboard beds “to prevent Olympians from having sex, and thus risk spreading (COVID-19).”	pants-fire
9924	New Hampshire Democratic Party	Says the 2010-11 New Hampshire budget ended with an $18 million surplus, while the Republican-led 2012-13 budget has a $40 million deficit.	mostly-true
9925	Edward Lindsey	Most voters prefer zombies to the current U.S. Congress.	true
9926	Eric Holder	"""After filing a lawsuit in Rhode Island, we reached an agreement with state agencies that resulted in more voters being registered in the first full month after our lawsuit than in the entire previous two-year reporting period."""	true
9927	Joe Biden	"""We have the most productive workers in the world."""	mostly-true
9928	Ted Strickland	"Says Sen. Rob Portman said, ""It would be irresponsible not to cut Medicare."""	half-true
9929	Ted Cruz	"Says Barack Obama broke a decades-old policy of ""not negotiating with terrorists."""	barely-true
9930	Colorado Democratic Party	"Says GOP U.S. Senate candidate Darryl Glenn ""wants to eliminate the Department of Education"" and jeopardize college funding for 320,000 Coloradans."	true
9931	Debbie Wasserman Schultz	"Says there's a ""100-year-old international norm not to use chemical weapons."""	mostly-true
9932	Ron Paul	"Says Rick Santorum ""opposes right-to-work"""	half-true
9933	Barack Obama	"Says ""Mitt Romney’s plan rolls back regulations"" on banks."	mostly-true
9934	Jeffrey Hernandez	Says his reform efforts improved performance at all 10 low-performing schools in Palm Beach, Florida.	half-true
9935	Kim Reynolds	"""If you can’t get a test through Test Iowa, there are multiple other sites: your doctor, your clinics, your pharmacies, the stroke detection clinic centers."""	mostly-true
9936	Pat McCrory	"""We have not taken away any rights that have currently existed in any city in North Carolina"" with the passage of HB2."	false
9937	Bill White	"""There's almost 1 million Texans who are unemployed and that's an all-time record number in our state."""	true
9938	Rand Paul	"""There's never been a direct Supreme Court case on people who were here illegally, whether or not their kids are citizens."""	mostly-true
9939	Newt Gingrich	In every committee when the health care bill was considered, Democrats voted against an amendment that would require members of Congress and their staff to take the government-run public option as their health care plan.	mostly-true
9940	George Allen	"""China owns more of our bonds than do Americans."""	false
9941	Florida Chamber of Commerce	"Nevada has been recently ranked No. 1 in ""unemployment, foreclosures, violent crime, personal bankruptcy and divorce."""	true
9942	The Freedom Project	"""Democrats rang up a $1.42 trillion budget deficit in 2009 — the single largest in American history."""	half-true
9943	Sarah Palin	Says an Internet meme shows people rejoicing over the Paris agreement.	false
9944	Tammy Baldwin	"Says U.S. Senate rival Tommy Thompson ""wants to give a new $265,000 tax cut to millionaires like himself while raising taxes on the middle class."""	half-true
9945	Tweets	"""Scott Walker to cut $300 million from universities, spend $500 million on a pro basketball stadium."""	half-true
9946	Donna Howard	Says abortions are decreasing.	true
9947	Lamar Smith	The National Science Foundation awarded $700,000 to fund a climate change musical.	true
9948	David Dewhurst	Says gas costs $4.50 a gallon.	barely-true
9949	Marco Rubio	"""The child tax credit, if we don't do it, there will be no tax relief for working families. How much tax relief working families get under tax reform is entirely dependent on whether or not we put in place an increase to the child tax credit."""	mostly-true
9950	Elena Kagan	"During the year Kagan barred military recruiters from Harvard Law School's Office of Career Services, ""military recruiting actually went up."""	half-true
9951	Rick Baker	Says Rick Kriseman is $35 million over budget on St. Petersburg’s new police station.	false
9952	Glenn Grothman	"Millionaires are eligible for food stamps, but ""Donald Trump came along and decided to put a stop to it."""	true
9953	John Carter	"Says the United States is the only nation that affords citizenship to anyone born here, ""whether you are here legally or illegally."""	false
9954	Lena Taylor	"Lead levels in Milwaukee's water ""are higher than Flint, MI."""	half-true
9955	Republican Governors Association	Jason Carter supports using Georgia tax dollars to promote Obamacare	barely-true
9956	Barbara Comstock	"Says five Democratic state senators were for her bicycle tailgating bill ""before they were against it."""	true
9957	Donald Trump	"Americans don't ""care at all"" about Donald Trump's tax returns."	false
9958	Raymond LaHood	"""Thirty-five states have accepted high-speed intercity rail money."""	half-true
9959	Chain email	"The Obama White House is renaming Christmas trees ""holiday trees."""	pants-fire
9960	John Fredericks	"Every illegal immigrant ""can be eligible for up to $36,000 to $38,000 in earned income tax credits without paying a dime in."""	false
9961	Facebook posts	A Georgia Bureau of Investigation agent was killed for investigating the election.	false
9962	Barbara Boxer	"Says Donald Trump ""said a woman should be punished for exercising her right to choose."""	half-true
9963	Rex Tillerson	"""China account(s) for 90 percent of North Korean trade."""	true
9964	Kathleen Sebelius	"""One of three patients hospitalized (is) harmed by the care they receive."""	mostly-true
9965	Bloggers	"""As a 27 year old staff attorney for the House Judiciary Committee during the Watergate investigation, Hillary Rodham was fired by her supervisor, lifelong Democrat Jerry Zeifman. When asked why Hillary Rodham was fired, Zeifman said in an interview, ‘Because she was a liar. She was an unethical, dishonest lawyer, she conspired to violate the Constitution, the rules of the House, the rules of the Committee, and the rules of confidentiality.’"""	false
9966	Sheri Dillon	"""Paying for a hotel room is not a gift or a present and it has nothing to do with an office. It's not an emolument."""	half-true
9967	David Menchetti	"""The causation standard in Indiana is exactly the same as it is in Illinois."""	true
9968	Mitt Romney	Says that illegal immigrants get a $100,000 break on University of Texas tuition over four years.	mostly-true
9969	Casey Cagle	"A Homeland Security study ""showed 120 murders took place that could have been prevented had communities been working with ICE and Homeland Security."""	false
9970	Al Gore	"The ocean is now ""much more acidic . . . than it has been for many millions of years."""	half-true
9971	Basic Rights Oregon	"Says Republican candidates in Oregon are ""advocating violence"" against gays."	false
9972	Viral image	A coloring book that describes Joe Biden as “America’s Sexiest Moderate” is being marketed to children.	false
9973	Newt Gingrich	"""I never lobbied under any circumstance"" for Freddie Mac."	half-true
9974	Amanda Carpenter	"""There are ‘sore loser’ laws that would bar Luther Strange from pursuing a seat"" because he already lost the Alabama Republican Senate runoff to Roy Moore."	false
9975	John Morgan	"""Despite decades of marijuana being used for smoking in the United States, there have been no reported medical cases of lung cancer"" attributed to marijuana."	half-true
9976	Facebook posts	Republican election challengers were unfairly barred from observing absentee ballot processing and counting in Detroit.	false
9977	Alison Lundergan Grimes	"Raising the minimum wage to $10.10 an hour, ""would help lift over a million Americans out of poverty."""	mostly-true
9978	Allen West	"About 78 to 81 House Democrats ""are members of the Communist Party. ... It’s called the Congressional Progressive Caucus."""	pants-fire
9979	Donald Trump	"""Drug prices are coming down, first time in 51 years because of my administration."""	barely-true
9980	Rebecca Kleefisch	"Wisconsin’s monthly job reports have a ""margin of error"" of 75 percent and were ""way off"" in eight of first 10 months of 2011."	half-true
9981	Really American	Postmaster General Louis DeJoy “gave $400,000 to Republicans just this year” and has “between $30 and $75 million in assets of direct competitors to the United States Postal Service.”	mostly-true
9982	Chain email	"""What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!"""	pants-fire
9983	Alan Grayson	"""I’m the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200."""	true
9984	Michael Needham	"In 2013, the United States ""accepted 67 percent of the world’s refugees."""	barely-true
9985	Joe Atkins	"""Minnesota is kicking butt relative to Wisconsin on everything from employment and job creation to school test scores, educated work force and a host of other factors and rankings"""	half-true
9986	Florida Democratic Party	Shows in a television ad that police took evidence from Solantic, Rick Scott's new health care company, after allegations emerged that the company was engaging in fraud.	false
9987	Franklin Graham	"In most Muslim countries, ""We can't have a church. We're not able to build synagogues. It's forbidden."""	false
9988	John McCain	"In 1992, Barack Obama directed ""Project Vote - an arm of ACORN that also encouraged voter registration."""	false
9989	Restore American Freedom and Liberty	"Says Tammy Baldwin ""wants to require children starting at age 5 to learn about gay sex!"""	false
9990	Facebook posts	Says Donald Trump said “good” during the final presidential debate in reference to families being separated at the border.	false
9991	Michael Steele	"""I have won more elections than any chairman since 1938."""	half-true
9992	Michael Burgess	Says stores will be barred from selling 100-watt light bulbs as of 2012.	barely-true
9993	Grover Norquist	"""Withheld union dues fund half of Dem (Democratic) campaigns in Florida."""	pants-fire
9994	John McCain	"""Today Russia holds many of our most precious national security satellites at risk before they ever get off the ground."""	mostly-true
9995	United for Care	Amendment 2 on medical marijuana won a higher percentage of the vote than the last six Florida governors, including Jeb Bush’s 2002 landslide.	mostly-true
9996	Donald Trump	Says Republican leaders “are working hard to cover up election corruption in Wisconsin.”	pants-fire
9997	Marco Rubio	"In Florida, ""300,000 people are going to lose their individual coverage because of Obamacare. Now those people next year, they don’t have health insurance."""	barely-true
9998	Chain email	"Starting in 2011, ""you will be required to pay taxes"" on ""the value of whatever health insurance you are given by the company."""	pants-fire
9999	Mike Bost	The American Rescue Plan Act “does not” include “checks and balances” on how funds for state and local governments can be spent.	half-true
10000	Herman Cain	"The 9-9-9 plan ""does not raise taxes on those that are making the least."""	false
10001	Josh Mandel	"Federal spending on entitlements ""is projected to consume all revenue by 2045."""	mostly-true
10002	Facebook posts	“Man visited Albany, N.Y. days before dying from coronavirus.”	false
10003	Lee Fisher	"""As President George W. Bush’s trade representative, Portman failed to address China’s currency manipulation, which was inflated to as much as 40 percent in 2006."""	barely-true
10004	Viral image	Photos show that the person who shot three people during a protest over the police shooting of Jacob Blake is a police officer.	false
10005	Cory Booker	"The war on drugs led to ""a 500 percent increase in incarceration in our country, disproportionately affecting poor and disproportionately affecting minorities."""	mostly-true
10006	Rick Scott	"""Estimates say individuals who escaped these high tax states have taken with them around $2 trillion in adjusted gross income."""	barely-true
10007	Scott Jenkins	“There are more guns in this country than there are citizens.”	half-true
10008	Jack Kingston	President Obama has left the U.S. with the lowest number of active-duty troops since before World War II, putting the nation at risk.	half-true
10009	Robert Duffy	"If upstate New York split from downstate ""the economic indicators of upstate New York would be among the lowest in the country."""	mostly-true
10010	Ben Carson	More than 100,000 people are waiting for public housing in Houston and people who are in the country illegally are taking their spaces.	barely-true
10011	Sean Duffy	"The federal Consumer Financial Protection Bureau is ""collecting financial information, monitoring financial information of millions of Americans"" without their knowledge and ""storing it for up to 10 years."""	half-true
10012	Republican Governors Association	"""Ohio lost 400,000 jobs on his (Ted Strickland’s) watch."""	half-true
10013	Peter King	"The Boston Marathon bombing ""is the fifth case"" in which U.S. government officials examined individuals potentially involved in terrorism ""and felt they were no threat and they went on to carry out terrorist murders."""	mostly-true
10014	Wendy Davis	"""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."""	half-true
10015	Facebook posts	“This week the military was moving big equipment into the major big cities preparing for the Maricopa audit results.”	false
10016	Adam Smith	"""Go back to 2005 until now, we have quadrupled the number of Border Patrol agents."""	false
10017	John McCain	"Barack Obama's plan calls for ""mandates and fines for small businesses."""	false
10018	Barack Obama	"Says he lived up to a 2008 promise when he ""closed corporate tax loopholes that were sending profits overseas."""	half-true
10019	Vincent Fort	Taxes on groceries and medicine will rise under a plan to improve roads and rail for metro Atlanta.	mostly-true
10020	Viral image	"""Barack Obama said, ‘If we don’t do something about this president, I will’ at DNC fundraiser last night."""	false
10021	Gretchen Carlson	"""The CBO now says the president's health care law will cut the number of full-time jobs in the United States by 2.3 million by 2021."""	barely-true
10022	Michael Denbrow	"Undocumented students who qualify for in-state Oregon tuition are ""actively working toward U.S. citizenship."""	barely-true
10023	Facebook posts	Says Kaleb Torres, a young spokesperson for Shriners Hospitals for Children, has died.	false
10024	John McCain	"""There are many health insurance plans that will cover Viagra but won't cover birth-control medication."""	barely-true
10025	Chain email	Says the Obama administration plans to ban all weapons for U.S. citizens through international treaties.	pants-fire
10026	Facebook posts	“FEMA is paying for hotel rooms!!!” for Texas winter storm victims.	false
10027	Bloggers	"""Before 1973 it was illegal in the U.S. to profit off of health care."""	false
10028	Wisconsin State AFL-CIO	"""Scott Walker has given a $10,000 tax deduction to millionaires who send their kids to exclusive private schools."""	barely-true
10029	Facebook posts	“Former Las Vegas Raiders offensive tackle Bruce Campbell involved in altercation.”	false
10030	Ed Gillespie	"Under President George W. Bush, the U.S. had ""52 months of ... uninterrupted job creation"" and ""revenues were at an all-time high in 2007."""	mostly-true
10031	Gina Hinojosa	"Austin school district ""teachers are the lowest paid of any urban"" Texas district and the ""lowest paid of any surrounding school district."""	half-true
10032	National Republican Congressional Committee	Says that Minnesota Democratic congressional candidate Dean Phillips doesn’t offer health insurance for his employees.	barely-true
10033	Donald Trump Jr.	"""It’s only a federal crime for the"" inspector general to out a whistleblower."	mostly-true
10034	Facebook posts	“Joe Biden says Americans can only celebrate the Fourth of July if he says so.”	false
10035	Marco Rubio	"""The reason why Cubans don't have access to 21st century telecommunications — like smart phones, like access to the Internet — is because it is illegal in Cuba."""	mostly-true
10036	Bloggers	"""There was someone else on that plane for the secret Bill Clinton/Loretta Lynch meeting."""	pants-fire
10037	Joe Biden	"""Across the country, $174 billion of the Recovery Act have been committed in its first 130 days."""	mostly-true
10038	Mitt Romney	"Says that in his book, Rick Perry said that ""Social Security is unconstitutional."""	mostly-true
10039	Facebook posts	“Trump just cut the scheduled federal pay raise, stating that he can’t do it now because of ‘serious economic conditions’ in America.”	mostly-true
10040	Kay Hoflander	"""All signs seem to point to Hillary (Clinton) laying the groundwork to run for president again."""	false
10041	Alberta Darling	"When it comes to the state deficit, Wisconsin is ""proportionally in as much trouble as the State of California."""	half-true
10042	Viral image	Says Donald Trump said, 'Africans Are Lazy, Good At Sex, Theft.'	pants-fire
10043	American Crossroads	"""The Clintons' foundation took millions from foreign governments"" including United Arab Emirates and Saudi Arabia."	true
10044	Ralph Long	"""The [Georgia] General Assembly took away the Atlanta Board of Education’s oversight of the superintendent."""	barely-true
10045	Barack Obama	"Health care reform ""would bring down the deficit by as much as $1 trillion over the next two decades."""	half-true
10046	Bill Johnson	"Most Americans want ""traditional marriage,"" as defined by the Defense of Marriage Act."	barely-true
10047	Scott Walker	"""Once our Blueprint for Prosperity is signed into law, we will have delivered $2 billion"" in tax relief."	true
10048	Scott Walker	"""I'm the only governor in America ... who signed a law that says there needs to be an independent investigation any time there's a death of someone in police custody."""	true
10049	Greg Abbott	"""Midland, Texas, now beats the San Francisco area in the percentage of jobs created by startups."""	mostly-true
10050	Sam Adams	The city’s 30 percent set aside for affordable housing in urban renewal areas is calculated citywide -- not district by district	false
10051	Richard Ojeda	"The United States is ""#1 in oil consumption"" in the world."	mostly-true
10052	Sally Kohn	"""Since 9/11, right-wing extremists (incl anti-abortion, anti-gov) have killed more Americans than Islamic extremists."""	half-true
10053	Michele Bachmann	"""Speaker Pelosi ... has been busy sticking the taxpayer with her $100,000 bar tab for alcohol on the military jets that she's flying."""	pants-fire
10054	Bloggers	"""Mayor Andrew Gillum says he’s indefinitely suspending his campaign for governor in light of a fatal shooting in Tallahassee at a yoga studio on Friday."""	false
10055	Cathie Adams	"""ObamaCare will use your tax dollars to provide free Viagra to convicted rapists and registered sex offenders."""	half-true
10056	Facebook posts	"Says a Twitter account for ""Scarsdale NY Antifa"" tweeted that ""chapters of Antifa around Oregon have collaborated to ignite fires around the state."""	false
10057	Stephen Miller	"""This issue of busing voters in to New Hampshire is widely known by anyone who’s worked in New Hampshire politics. It’s very real, it’s very serious."""	pants-fire
10058	Bernie Sanders	"""Almost all of the polls that have come out suggest that I am a much stronger candidate against the Republicans than is Hillary Clinton."""	false
10059	Barack Obama	"""The centerpiece of Senator McCain's education policy is to increase the voucher program in D.C. by 2,000 slots."""	false
10060	Instagram posts	"""Airlines are meeting today to discuss the risks of carrying vaxed passengers due to the risk of clots and the liabilities involved.”"	false
10061	Donald Trump	"""We’re spending tremendous amounts of money to educate our kids. In the world, we're No. 1 per pupil by a factor of four."""	barely-true
10062	Charlie Crist	"Says Rick Scott ""pled the Fifth 75 times to avoid jail for Medicare fraud."""	half-true
10063	Rush Limbaugh	"A recent drop in the unemployment rate is questionable because it was calculated ""over two days of the Thanksgiving week."""	false
10064	Rob Portman	"""Our debt now is about $140,000 per household."""	mostly-true
10065	Don Huffines	"""Texans have some of the highest property taxes in the nation”"	mostly-true
10066	Association of Mature American Citizens	"AARP backed ""federal funding for Planned Parenthood."""	false
10067	Hank Johnson	"""The economy we preside over today is better than the one we inherited."""	barely-true
10068	religionmind.com	"""Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian"""	pants-fire
10069	Donald Trump	"Says Hillary Clinton ""has called for a radical 550 percent increase in Syrian  ... refugees . . .  despite the fact that there’s no way to screen these refugees in order to find out who they are or where they come from."""	half-true
10070	Stop Gillnetting Now	"Says ""Oregon is one of only three states that allow the use of gillnets on inland waters."""	false
10071	Barbara Boxer	"""There's a 1.5 percent to 2 percent overhead in Medicare. The insurance companies have a 20 percent to 30 percent overhead."""	half-true
10072	Joe Scarborough	"2014 midterm election spending by ""the left and the right are both equal."""	half-true
10073	Barack Obama	"Barack Obama ""cut taxes for working families."""	mostly-true
10074	Nancy Pelosi	"Says John Boehner ""admits 'we are not going to be any different than we’ve been' "" by returning to ""the same failed economic policies"" that ""wrecked our economy."""	pants-fire
10075	Hillary Clinton	"""Ted Cruz tried to ban contraception"" five times."	barely-true
10076	Diane Savino	"Giving a committee chair’s stipend in the New York State Senate to another member of that committee ""has been, in fact, a legislative practice for decades."""	false
10077	Mitt Romney	"Stimulus dollars paid for ""windmills from China."""	barely-true
10078	Facebook posts	Trey Gowdy said, “I’m not saying COVID-19 isn’t real…. But pay attention folks, there’s much more going on here than what meets the eye.”	false
10079	Pete Snyder	“There is no discernible difference between the spread and deaths of COVID in Virginia than there is in Florida.”	false
10080	Bloggers	“Italian Parliament Calls For The Arrest of Bill Gates”	false
10081	Donald Trump	"We’ve broken ""by millions"" the all-time record for votes in a GOP presidential primary election."	false
10082	Mick Mulvaney	"""Every single (health care) plan that this White House has ever put forward since Donald Trump was elected covered pre-existing conditions."""	barely-true
10083	Vince Megna	"""200 consumer laws were destroyed"" in 2011 when Gov. Scott Walker signed Act 92."	false
10084	Maggie Hassan	"Says there is a ""traditional 60-vote threshold for confirming Supreme Court nominees."""	barely-true
10085	Facebook posts	“The CEO of the company that owns Wendy’s, Taco Bell, and Pizza Hut donated $400,000 towards Trump’s re-election campaign.”	barely-true
10086	Marco Rubio	"The health care law ""adds around $800 billion of taxes on the American people. It does not discriminate between rich and poor."""	false
10087	Realtimepolitics	"""Joe Biden just confirmed that he is running for president in 2020 and it has America applauding!"""	false
10088	Diamond and Silk	"""Obama secretly gave citizenship to 2,500 Iranians as part of nuke deal."""	false
10089	Barbara Buono	"Says Gov. Chris Christie has embarked on a tour to ""demand that New Jersey’s Democratic legislature approve an immediate tax cut that would disproportionately benefit the wealthiest."""	false
10090	John Driscoll	"""(Sen. Robert) Gordon cost us money, exempting the Newark sports arena from paying property taxes and sticking us with the bill."""	barely-true
10091	Facebook posts	“Georgia and Kansas Capitol buildings have been stormed by protesters.”	false
10092	Donald Trump	"""The Mexican government forces many bad people into our country."""	pants-fire
10093	Donald Trump	"""I did not support the war in Iraq … The record shows that I’m right."""	false
10094	Donald Trump	"Says Democrats ""want to give (undocumented immigrants) cars."""	pants-fire
10095	West Virginia Republican Party	"""West Virginia added the highest percentage of new construction jobs in 2017 in the United States, at 14.4%. This amounted to 4,300 additional jobs! In fact, #WV was the only state with double-digit growth!"""	true
10096	Donald McEachin	"Gov. McDonnell's proposed budget ""is cutting"" public education."	false
10097	Doug Collins	"Kelly Loeffler has a ""long history of donating to abortion-on-demand Democrats."""	barely-true
10098	Pam Bondi	"""By the year 2015 (Medicaid will) take up half our budget."""	barely-true
10099	Donald Trump	"""Puerto Rico’s electric grid and their electric generating plant was dead before the storms ever hit. It was in very bad shape. It was in bankruptcy. It had no money. It was largely -- you know, it was largely closed."""	half-true
10100	Brent Barton	Says credit rating agencies realize that our instability stems in large part from Oregon’s kicker system.	barely-true
10101	Viral image	"""Snapchat CEO Evan Spiegel has said the app is for rich people, don't want to expand in poor countries like India and Spain."""	barely-true
10102	Newt Gingrich	"""The biggest contribution"" behind a decrease in U.S. unemployment ""was 1.2 million people leaving the workforce"""	false
10103	Brian Patrick Kennedy	"Employers and schools have no right to conduct ""surveillance of a dorm room or a worker’s cubicle."""	barely-true
10104	John Boehner	"""We've got a personal tax system that's so complicated it costs Americans about $500 billion a year to comply with the current tax code."""	barely-true
10105	Gavin Newsom	"During his campaign for president, Donald Trump ""committed to honoring states' rights when it comes to marijuana legalization."""	true
10106	Barack Obama	Says he eliminated an EPA rule that treated spilled milk like it was oil.	true
10107	Club for Growth	"The conservative proposal to replace the Affordable Care Act ""lowers premiums by giving New York the freedom to end Obamacare’s costly and ridiculous rules."""	barely-true
10108	Dan McCready	"Says Dan Bishop ""took the only vote from either party — the only vote — against pharmacists being able to tell people about lower-cost drugs."""	half-true
10109	Viral image	A photograph shows Joe Biden with a Grand Wizard of the Ku Klux Klan.	barely-true
10110	Tim Kaine	"Says British voters ""under 50, especially millennials, overwhelmingly voted to stay,"" in the European Union. ""It was older voters who voted to leave."""	mostly-true
10111	Elizabeth Warren	"""Donald Trump said he was excited for the 2008 housing crash that devastated millions of American families, because he thought it would help him scoop up more real estate on the cheap."""	half-true
10112	Rick Perry	"Since 2000, ""the Texas clean air program achieved a 22 percent reduction in ozone and a 46 percent decrease in NOx emissions."""	half-true
10113	Mitt Romney	"""Oil production is down 14 percent this year on federal land."""	half-true
10114	Republican Party of Wisconsin	"Says Democratic gubernatorial candidate Mary Burke ""has proven on the Madison Board of Education"" that she supports raising taxes and spending."	half-true
10115	Bernie Sanders	"""The largest U.S. companies would owe $620 billion in U.S. taxes on the cash they store in tax havens."""	mostly-true
10116	Thomas Anderson	"""If the experiences in Colorado and Washington are the experiences we have here, roadway deaths are going to go up, impaired driving is likely to go up."""	half-true
10117	Roy Cooper	Says North Carolina bill to require in-person learning is “stripping out some of the health protocols that are in place.”	half-true
10118	West Virginia Republican Party	"""For only the second time since 2000, there are more job openings than Americans who are unemployed."""	true
10119	Rick Perry	"""Bill White used D.C. connections from his job in the Clinton administration to form a company that did business in the Middle East and defaulted on a $60 million loan."""	half-true
10120	Black Lives Matter	“Biden is currently sending more military equipment to our neighborhoods than Trump did.”	false
10121	Bernie Sanders	"""We have something like one out of four young black men in this country end up in the criminal justice system. They may end up in jail, they may end up on parole, they may end up on probation."""	half-true
10122	Tom Cole	"The impeachment process against Donald Trump ""provides fewer due process protections and fewer protections for minority rights than what we have seen in previous impeachment efforts."""	barely-true
10123	Debbie Wasserman Schultz	"Says Marco Rubio said ""we should be considering internment"" of Muslims, and ""maybe we should close down cafes and diners where Muslims gather and in fact compared them to the Nazi party."""	pants-fire
10124	Marie Newman	"""We’re in a situation right now where 80% of the country is living paycheck to paycheck."""	half-true
10125	Facebook posts	Hacked emails “revealed that Hillary Clinton & pals are involved in sex trafficking children.”	pants-fire
10126	Scott Walker	Says Mark Neumann = Nancy Pelosi	false
10127	Nikki Haley	Says that Nikita Khrushchev said, “Your children's children will live under communism. You Americans are so gullible. No, you won't accept communism outright; but, we will keep feeding you small doses of socialism until you will finally wake up and find you already have Communism.”	false
10128	Loretta Sanchez	"""The Brady Campaign has given me a 100 percent, not 99, 100 percent rating."""	half-true
10129	Ted Nugent	"""I've been a cop in Lake County, Michigan, since 1982 thereabout. I conduct federal raids with the DEA and ATF and U.S. Marshals and the FBI and Texas Rangers."""	pants-fire
10130	Rick Perry	"Says that in fiscal year 2010, ""nearly 80 percent of women served"" in the Texas Women’s Health Program received services from a provider other than a Planned Parenthood clinic."	half-true
10131	Nancy Pelosi	Says 11 soccer players on the U.S. Men’s National Team are immigrants.	false
10132	Facebook posts	"An image of nine white, blond women shows ""the amazing diversity of Fox News anchors."""	barely-true
10133	Rick Scott	"""My 7-step plan"" creates 700,000 jobs in 7 years."	mostly-true
10134	Allen West	"""Since 2006 Texas has given $19B in taxpayer subsidies to wind energy companies. Over the past 2-3 years Texas has tripled our dependence on wind energy to 23-25 percent of our energy distribution system."""	false
10135	Michael Long	"Under New York's new abortion law, ""If the baby was born alive, they would just let the baby expire."""	false
10136	Jerry Jones	"Says it’s ""absurd"" to say there’s enough data to establish a link between playing football and Chronic Traumatic Encephalopathy."	pants-fire
10137	Charles Schumer	“All” Americans in Afghanistan who “have wanted to come out have come out.”	false
10138	Tony Evers	"""Wisconsin’s graduation rates have grown to over 90 percent"" since Tony Evers became state school superintendent."	barely-true
10139	Kent Conrad	"""The American people say, don't touch Social Security, don't touch Medicare, don't cut defense. That's 84 percent of the federal budget."""	mostly-true
10140	Louie Gohmert	Says al Qaeda has camps with the drug cartels in Mexico.	false
10141	Viral image	Getting the COVID-19 vaccine jeopardizes life insurance policies.	false
10142	Chain email	"""Over 214,000 doctors opt out of Obamacare exchanges."""	false
10143	Kasim Reed	The city of Atlanta has $56 million in its reserves.	mostly-true
10144	Barack Obama	"""A lot of the ideas in terms of the (health insurance) exchange, just being able to pool and improve the purchasing power of individuals in the insurance market, that originated from the Heritage Foundation."""	mostly-true
10145	Kasim Reed	"Says ""you cannot implement Paul Ryan’s plan without allowing for any increases in revenue."""	half-true
10146	John Cornyn	"""Fifty-one percent -- that is, a majority of American households -- paid no income tax in 2009. Zero. Zip. Nada."""	true
10147	TDAlliance.com	"""Jefferson Davis statue to be replaced with Obama likeness."""	pants-fire
10148	Richard Saslaw	"Virginia’s current unemployment rate is ""the lowest in Virginia history."""	false
10149	Ron DeSantis	"""I’ve already traveled to Washington, D.C., and secured a historic commitment from the Trump administration to provide assistance to the communities that Michael battered."""	barely-true
